doc_id,MLS,MLT,MLC,C_S,C_T,CT_T,DC_C,DC_T,CP_C,CP_T,T_S,CN_C,CN_T,VP_T
https://doi.org/10.1108/acmm-02-2014-1352,19.3125,19.3125,8.82857142857143,2.1875,2.1875,0.75,0.42857142857142855,0.9375,0.34285714285714286,0.75,1.0,1.4285714285714286,3.125,3.0
https://doi.org/10.1108/acmm-10-2013-1302,21.4,21.4,13.375,1.6,1.6,0.5,0.3125,0.5,0.4375,0.7,1.0,2.1875,3.5,2.4
https://doi.org/10.1108/acmm-10-2013-1307,18.77777777777778,18.77777777777778,9.941176470588236,1.8888888888888888,1.8888888888888888,0.5555555555555556,0.17647058823529413,0.3333333333333333,0.35294117647058826,0.6666666666666666,1.0,1.588235294117647,3.0,2.5555555555555554
https://doi.org/10.1108/acmm-01-2014-1339,23.76923076923077,23.76923076923077,22.071428571428573,1.0769230769230769,1.0769230769230769,0.23076923076923078,0.6428571428571429,0.6923076923076923,0.5,0.5384615384615384,1.0,3.2857142857142856,3.5384615384615383,1.9230769230769231
https://doi.org/10.1108/acmm-05-2014-1389,24.0,24.0,12.631578947368421,1.9,1.9,0.5,0.5789473684210527,1.1,0.42105263157894735,0.8,1.0,1.5789473684210527,3.0,2.9
https://doi.org/10.1108/acmm-04-2014-1375,22.0,22.0,12.571428571428571,1.75,1.75,0.6666666666666666,0.42857142857142855,0.75,0.5714285714285714,1.0,1.0,2.238095238095238,3.9166666666666665,2.4166666666666665
https://doi.org/10.1108/acmm-11-2013-1324,23.363636363636363,23.363636363636363,13.526315789473685,1.7272727272727273,1.7272727272727273,0.5454545454545454,0.47368421052631576,0.8181818181818182,0.631578947368421,1.0909090909090908,1.0,1.894736842105263,3.272727272727273,2.5454545454545454
https://doi.org/10.1108/acmm-11-2013-1319,28.375,28.375,10.80952380952381,2.625,2.625,0.625,0.5238095238095238,1.375,0.09523809523809523,0.25,1.0,1.9523809523809523,5.125,3.625
https://doi.org/10.1108/acmm-05-2014-1381,23.454545454545453,23.454545454545453,13.578947368421053,1.7272727272727273,1.7272727272727273,0.6363636363636364,0.5789473684210527,1.0,0.3157894736842105,0.5454545454545454,1.0,2.0,3.4545454545454546,2.5454545454545454
https://doi.org/10.1108/acmm-10-2013-1308,28.666666666666668,28.666666666666668,17.2,1.6666666666666667,1.6666666666666667,0.4444444444444444,0.6,1.0,1.6,2.6666666666666665,1.0,2.8,4.666666666666667,2.5555555555555554
https://doi.org/10.1108/acmm-06-2014-1396,21.625,21.625,12.357142857142858,1.75,1.75,0.5,0.42857142857142855,0.75,0.42857142857142855,0.75,1.0,1.4285714285714286,2.5,2.625
https://doi.org/10.1108/acmm-12-2013-1333,25.181818181818183,25.181818181818183,14.578947368421053,1.7272727272727273,1.7272727272727273,0.45454545454545453,0.5263157894736842,0.9090909090909091,0.9473684210526315,1.6363636363636365,1.0,2.6842105263157894,4.636363636363637,2.272727272727273
https://doi.org/10.1108/acmm-11-2013-1321,27.5,27.5,11.578947368421053,2.375,2.375,0.625,0.5789473684210527,1.375,0.47368421052631576,1.125,1.0,1.7894736842105263,4.25,3.125
https://doi.org/10.1108/acmm-05-2014-1388,20.363636363636363,20.363636363636363,17.23076923076923,1.1818181818181819,1.1818181818181819,0.2727272727272727,0.7692307692307693,0.9090909090909091,0.6153846153846154,0.7272727272727273,1.0,2.5384615384615383,3.0,2.0
https://doi.org/10.1108/acmm-01-2014-1342,29.0,29.0,17.4,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.5,0.8333333333333334,0.5,0.8333333333333334,1.0,2.7,4.5,2.6666666666666665
https://doi.org/10.1108/acmm-01-2015-1498,28.8,28.8,14.4,2.0,2.0,0.8,0.8,1.6,0.5,1.0,1.0,2.1,4.2,2.8
https://doi.org/10.1108/acmm-04-2014-1367,26.4,26.4,11.0,2.4,2.4,0.8,0.375,0.9,0.16666666666666666,0.4,1.0,1.7916666666666667,4.3,2.8
https://doi.org/10.1108/acmm-10-2013-1305,21.125,21.125,15.363636363636363,1.375,1.375,0.5,0.6363636363636364,0.875,0.36363636363636365,0.5,1.0,1.8181818181818181,2.5,1.875
https://doi.org/10.1108/acmm-12-2013-1331,27.0,27.0,15.75,1.7142857142857142,1.7142857142857142,0.5,0.4583333333333333,0.7857142857142857,0.7083333333333334,1.2142857142857142,1.0,2.625,4.5,2.4285714285714284
https://doi.org/10.1108/acmm-11-2013-1320,22.333333333333332,22.333333333333332,11.166666666666666,2.0,2.0,0.75,0.375,0.75,0.7083333333333334,1.4166666666666667,1.0,1.5833333333333333,3.1666666666666665,2.5833333333333335
https://doi.org/10.1108/acmm-03-2014-1364,20.818181818181817,20.818181818181817,12.052631578947368,1.7272727272727273,1.7272727272727273,0.5454545454545454,0.3684210526315789,0.6363636363636364,0.9473684210526315,1.6363636363636365,1.0,1.5263157894736843,2.6363636363636362,2.090909090909091
https://doi.org/10.1108/acmm-12-2013-1336,23.571428571428573,23.571428571428573,15.0,1.5714285714285714,1.5714285714285714,0.5714285714285714,0.36363636363636365,0.5714285714285714,0.5454545454545454,0.8571428571428571,1.0,2.090909090909091,3.2857142857142856,2.4285714285714284
https://doi.org/10.1108/acmm-10-2013-1311,22.857142857142858,22.857142857142858,11.428571428571429,2.0,2.0,0.7142857142857143,0.35714285714285715,0.7142857142857143,0.5,1.0,1.0,1.9285714285714286,3.857142857142857,3.0
https://doi.org/10.1108/acmm-11-2013-1317,21.0,21.0,11.0,1.9090909090909092,1.9090909090909092,0.45454545454545453,0.47619047619047616,0.9090909090909091,0.09523809523809523,0.18181818181818182,1.0,1.619047619047619,3.090909090909091,2.8181818181818183
https://doi.org/10.1108/acmm-01-2014-1343,17.625,17.625,11.28,1.5625,1.5625,0.4375,0.24,0.375,0.4,0.625,1.0,1.72,2.6875,1.9375
https://doi.org/10.1108/acmm-07-2013-1276,22.2,22.2,18.5,1.2,1.2,0.2,0.5,0.6,2.8333333333333335,3.4,1.0,2.3333333333333335,2.8,1.8
https://doi.org/10.1108/acmm-07-2014-1410,24.2,24.2,12.1,2.0,2.0,0.6,0.45,0.9,0.2,0.4,1.0,1.8,3.6,2.6
https://doi.org/10.1108/acmm-12-2014-1475,25.5,25.5,13.421052631578947,1.9,1.9,0.8,0.5789473684210527,1.1,0.7368421052631579,1.4,1.0,2.1578947368421053,4.1,2.7
https://doi.org/10.1108/acmm-06-2013-1271,28.272727272727273,28.272727272727273,12.44,2.272727272727273,2.272727272727273,0.6363636363636364,0.6,1.3636363636363635,0.64,1.4545454545454546,1.0,1.88,4.2727272727272725,3.909090909090909
https://doi.org/10.1108/acmm-01-2015-1495,17.636363636363637,17.636363636363637,16.869565217391305,1.0454545454545454,1.0454545454545454,0.18181818181818182,0.43478260869565216,0.45454545454545453,0.7391304347826086,0.7727272727272727,1.0,2.260869565217391,2.3636363636363638,1.6818181818181819
https://doi.org/10.1108/acmm-01-2015-1490,24.545454545454547,24.545454545454547,15.0,1.6363636363636365,1.6363636363636365,0.45454545454545453,0.8333333333333334,1.3636363636363635,0.5,0.8181818181818182,1.0,2.388888888888889,3.909090909090909,2.909090909090909
https://doi.org/10.1108/acmm-09-2014-1433,18.0,18.0,12.0,1.5,1.5,0.4375,0.25,0.375,0.4583333333333333,0.6875,1.0,1.875,2.8125,1.75
https://doi.org/10.1108/acmm-01-2015-1492,25.0,25.0,15.0,1.6666666666666667,1.6666666666666667,0.5555555555555556,0.6,1.0,0.5333333333333333,0.8888888888888888,1.0,2.3333333333333335,3.888888888888889,2.4444444444444446
https://doi.org/10.1108/acmm-03-2014-1357,21.307692307692307,21.307692307692307,12.043478260869565,1.7692307692307692,1.7692307692307692,0.6153846153846154,0.391304347826087,0.6923076923076923,0.2608695652173913,0.46153846153846156,1.0,2.260869565217391,4.0,2.3076923076923075
https://doi.org/10.1108/acmm-11-2013-1323,24.615384615384617,24.615384615384617,13.333333333333334,1.8461538461538463,1.8461538461538463,0.6923076923076923,0.4583333333333333,0.8461538461538461,0.5,0.9230769230769231,1.0,2.3333333333333335,4.3076923076923075,2.5384615384615383
https://doi.org/10.1108/acmm-01-2014-1340,21.6,21.6,16.615384615384617,1.3,1.3,0.2,0.3076923076923077,0.4,0.5384615384615384,0.7,1.0,2.8461538461538463,3.7,1.8
https://doi.org/10.1108/acmm-01-2014-1344,20.923076923076923,20.923076923076923,11.826086956521738,1.7692307692307692,1.7692307692307692,0.6153846153846154,0.21739130434782608,0.38461538461538464,0.6086956521739131,1.0769230769230769,1.0,2.130434782608696,3.769230769230769,2.3076923076923075
https://doi.org/10.1108/acmm-12-2013-1329,25.625,25.625,14.642857142857142,1.75,1.75,0.625,0.42857142857142855,0.75,0.42857142857142855,0.75,1.0,2.5714285714285716,4.5,2.375
https://doi.org/10.1108/acmm-03-2014-1359,19.0,19.0,12.666666666666666,1.5,1.5,0.25,0.25,0.375,0.4166666666666667,0.625,1.0,1.75,2.625,2.125
