doc_id,ASL,MWL,LD,LC,JD,HD
https://doi.org/10.1108/acmm-02-2014-1352,17.88235294117647,6.980263157894737,0.6644736842105263,0.5493421052631579,0.0164473684210526,0.0328947368421052
https://doi.org/10.1108/acmm-10-2013-1302,21.6,6.787037037037037,0.7083333333333334,0.5648148148148148,0.0231481481481481,0.0277777777777777
https://doi.org/10.1108/acmm-10-2013-1307,15.545454545454543,7.099415204678363,0.695906432748538,0.6374269005847953,0.0116959064327485,0.0116959064327485
https://doi.org/10.1108/acmm-01-2014-1339,20.066666666666663,6.362126245847176,0.6710963455149501,0.4950166112956811,0.0199335548172757,0.0099667774086378
https://doi.org/10.1108/acmm-05-2014-1389,24.0,6.708333333333333,0.6541666666666667,0.5416666666666666,0.0166666666666666,0.0416666666666666
https://doi.org/10.1108/acmm-04-2014-1375,21.08333333333333,6.976284584980237,0.6482213438735178,0.5573122529644269,0.0158102766798418,0.0079051383399209
https://doi.org/10.1108/acmm-11-2013-1324,18.384615384615383,6.97071129707113,0.698744769874477,0.606694560669456,0.0251046025104602,0.0209205020920502
https://doi.org/10.1108/acmm-11-2013-1319,16.071428571428573,6.528888888888889,0.6711111111111111,0.5911111111111111,0.0355555555555555,0.0177777777777777
https://doi.org/10.1108/acmm-05-2014-1381,23.09090909090909,6.732283464566929,0.6811023622047244,0.5984251968503937,0.0314960629921259,0.0393700787401574
https://doi.org/10.1108/acmm-10-2013-1308,28.77777777777778,6.239382239382239,0.6872586872586872,0.5096525096525096,0.0347490347490347,0.0154440154440154
https://doi.org/10.1108/acmm-06-2014-1396,21.375,6.695906432748538,0.7192982456140351,0.5380116959064327,0.0409356725146198,0.023391812865497
https://doi.org/10.1108/acmm-12-2013-1333,17.25,6.358695652173913,0.6920289855072463,0.6159420289855072,0.0434782608695652,0.0217391304347826
https://doi.org/10.1108/acmm-11-2013-1321,27.375,6.904109589041096,0.6712328767123288,0.547945205479452,0.0410958904109589,0.0136986301369863
https://doi.org/10.1108/acmm-05-2014-1388,19.727272727272727,7.092165898617512,0.6820276497695853,0.456221198156682,0.0230414746543778,0.0184331797235023
https://doi.org/10.1108/acmm-01-2014-1342,29.0,6.2011494252873565,0.6436781609195402,0.4597701149425287,0.028735632183908,0.0114942528735632
https://doi.org/10.1108/acmm-01-2015-1498,36.5,6.260273972602739,0.726027397260274,0.5205479452054794,0.0273972602739726,0.0136986301369863
https://doi.org/10.1108/acmm-04-2014-1367,26.3,6.437262357414449,0.6121673003802282,0.5133079847908745,0.0228136882129277,0.0228136882129277
https://doi.org/10.1108/acmm-10-2013-1305,20.75,6.234939759036145,0.6445783132530121,0.5783132530120482,0.0301204819277108,0.0240963855421686
https://doi.org/10.1108/acmm-12-2013-1331,26.357142857142858,6.666666666666667,0.6287262872628726,0.4634146341463415,0.016260162601626,0.005420054200542
https://doi.org/10.1108/acmm-11-2013-1320,20.58333333333333,7.044534412955466,0.6923076923076923,0.6072874493927125,0.0121457489878542,0.0242914979757085
https://doi.org/10.1108/acmm-03-2014-1364,14.266666666666667,7.313084112149533,0.7009345794392523,0.6308411214953271,0.02803738317757,0.0186915887850467
https://doi.org/10.1108/acmm-12-2013-1336,19.75,6.905063291139241,0.6962025316455697,0.6518987341772152,0.050632911392405,0.050632911392405
https://doi.org/10.1108/acmm-10-2013-1311,21.857142857142858,7.202614379084968,0.6928104575163399,0.5424836601307189,0.0261437908496732,0.0261437908496732
https://doi.org/10.1108/acmm-11-2013-1317,20.454545454545453,7.191111111111111,0.6577777777777778,0.5111111111111111,0.0266666666666666,0.0133333333333333
https://doi.org/10.1108/acmm-01-2014-1343,17.25,6.836956521739131,0.6630434782608695,0.4891304347826087,0.0181159420289855,0.0217391304347826
https://doi.org/10.1108/acmm-07-2013-1276,22.0,7.063636363636364,0.6818181818181818,0.6909090909090909,0.0181818181818181,0.0636363636363636
https://doi.org/10.1108/acmm-07-2014-1410,24.2,6.723140495867769,0.640495867768595,0.6033057851239669,0.0165289256198347,0.0330578512396694
https://doi.org/10.1108/acmm-12-2014-1475,16.133333333333333,7.0578512396694215,0.6818181818181818,0.5991735537190083,0.0206611570247933,0.0165289256198347
https://doi.org/10.1108/acmm-06-2013-1271,27.90909090909091,6.661237785016287,0.6547231270358306,0.5537459283387622,0.01628664495114,0.009771986970684
https://doi.org/10.1108/acmm-01-2015-1495,16.0,6.5978260869565215,0.6847826086956522,0.4728260869565217,0.0108695652173913,0.0108695652173913
https://doi.org/10.1108/acmm-01-2015-1490,24.181818181818183,6.015037593984962,0.6729323308270677,0.4210526315789473,0.0225563909774436,0.0263157894736842
https://doi.org/10.1108/acmm-09-2014-1433,17.6875,6.636042402826855,0.6678445229681979,0.4840989399293286,0.0176678445229682,0.0212014134275618
https://doi.org/10.1108/acmm-01-2015-1492,24.55555555555556,6.864253393665158,0.6515837104072398,0.6063348416289592,0.0542986425339366,0.0226244343891402
https://doi.org/10.1108/acmm-03-2014-1357,19.785714285714285,6.296028880866426,0.7003610108303249,0.5379061371841155,0.0324909747292418,0.0216606498194945
https://doi.org/10.1108/acmm-11-2013-1323,24.846153846153847,6.575851393188855,0.6408668730650154,0.4953560371517028,0.0278637770897832,0.0247678018575851
https://doi.org/10.1108/acmm-01-2014-1340,18.727272727272727,6.616504854368932,0.6893203883495146,0.6504854368932039,0.0339805825242718,0.0097087378640776
https://doi.org/10.1108/acmm-01-2014-1344,23.5,6.053191489361702,0.7269503546099291,0.5035460992907801,0.0141843971631205,0.0141843971631205
https://doi.org/10.1108/acmm-12-2013-1329,25.375,6.798029556650246,0.6551724137931034,0.5270935960591133,0.0246305418719211,0.0098522167487684
https://doi.org/10.1108/acmm-03-2014-1359,15.3,6.666666666666667,0.7058823529411765,0.5882352941176471,0.0326797385620915,0.0261437908496732
https://doi.org/10.1108/acmm-12-2013-1338,25.5,6.496732026143791,0.6862745098039216,0.5816993464052288,0.0392156862745098,0.0196078431372549
https://doi.org/10.1108/acmm-10-2013-1312,16.25,6.938461538461539,0.6923076923076923,0.5692307692307692,0.0205128205128205,0.0153846153846153
https://doi.org/10.1108/acmm-01-2015-1496,20.55555555555556,6.289189189189189,0.6324324324324324,0.3513513513513513,0.0216216216216216,0.0135135135135135
https://doi.org/10.1108/acmm-01-2015-1497,20.666666666666668,6.532258064516129,0.6854838709677419,0.6774193548387096,0.0564516129032258,0.0483870967741935
https://doi.org/10.1108/acmm-01-2014-1347,18.857142857142858,6.53030303030303,0.6893939393939394,0.6136363636363636,0.053030303030303,0.0227272727272727
https://doi.org/10.1108/acmm-01-2015-1488,19.83333333333333,6.684873949579832,0.6932773109243697,0.5294117647058824,0.0378151260504201,0.0042016806722689
https://doi.org/10.1108/acmm-11-2013-1326,23.8,6.705882352941177,0.634453781512605,0.5672268907563025,0.0210084033613445,0.0126050420168067
