doc_id,term_density,numeric_density,abbreviation_ratio,redundancy_ratio,sentence_length_cv,short_sentence_ratio,long_sentence_ratio,question_ratio,formulaic_open_ratio,avg_word_length
https://doi.org/10.1108/acmm-02-2014-1352,0.006578947368421052,0.0625,0.0,0.006578947368421052,0.3808977585823718,0.0,0.0625,0.0,0.0,6.009868421052632
https://doi.org/10.1108/acmm-10-2013-1302,0.013888888888888888,0.2,0.013888888888888888,0.004629629629629629,0.35270364731001685,0.0,0.1,0.0,0.0,5.763888888888889
https://doi.org/10.1108/acmm-10-2013-1307,0.005847953216374269,0.2222222222222222,0.0,0.005847953216374269,0.3374628782749359,0.0,0.0,0.0,0.0,6.081871345029239
https://doi.org/10.1108/acmm-01-2014-1339,0.013289036544850499,0.5,0.013289036544850499,0.006644518272425249,0.2976899912870138,0.0,0.0,0.0,0.0,5.335548172757475
https://doi.org/10.1108/acmm-05-2014-1389,0.0125,0.0,0.0125,0.0125,0.4133198922545748,0.0,0.2,0.0,0.0,5.716666666666667
https://doi.org/10.1108/acmm-04-2014-1375,0.011857707509881422,0.0,0.0,0.003952569169960474,0.3345237483338302,0.08333333333333333,0.0,0.0,0.08333333333333333,6.023715415019763
https://doi.org/10.1108/acmm-11-2013-1324,0.016736401673640166,0.2727272727272727,0.06694560669456066,0.008368200836820083,0.32312526487544474,0.0,0.0,0.0,0.0,6.00418410041841
https://doi.org/10.1108/acmm-11-2013-1319,0.02666666666666667,0.5,0.022222222222222223,0.0044444444444444444,0.5966987369821134,0.2,0.1,0.0,0.0,5.546666666666667
https://doi.org/10.1108/acmm-05-2014-1381,0.023622047244094488,0.0,0.03937007874015748,0.003937007874015748,0.4356046137298813,0.0,0.18181818181818182,0.0,0.0,5.708661417322834
https://doi.org/10.1108/acmm-10-2013-1308,0.02702702702702703,0.5555555555555556,0.007722007722007722,0.003861003861003861,0.5790990968108934,0.1111111111111111,0.2222222222222222,0.0,0.0,5.2084942084942085
https://doi.org/10.1108/acmm-06-2014-1396,0.03508771929824561,0.625,0.0,0.005847953216374269,0.331584619937657,0.0,0.125,0.0,0.0,5.713450292397661
