doc_id,past_tense_ratio,present_tense_ratio,passive_ratio,stance_verb_ratio,mental_verb_ratio,modal_possibility_ratio,modal_prediction_ratio,relative_clause_ratio,communication_verb_ratio,suasive_verb_ratio,noun_modifier_ratio,abstract_noun_ratio,nominalization_ratio,human_noun_ratio,word_length
https://doi.org/10.1108/acmm-02-2014-1352,0.05501618122977346,0.012944983818770227,0.022653721682847898,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.016181229773462782,0.009708737864077669,0.0,0.07766990291262135,0.032362459546925564,0.13268608414239483,0.012944983818770227,5.864077669902913
https://doi.org/10.1108/acmm-10-2013-1302,0.04672897196261682,0.018691588785046728,0.018691588785046728,0.004672897196261682,0.004672897196261682,0.014018691588785047,0.0,0.004672897196261682,0.009345794392523364,0.0,0.16355140186915887,0.07009345794392523,0.10747663551401869,0.004672897196261682,5.780373831775701
https://doi.org/10.1108/acmm-10-2013-1307,0.05325443786982249,0.023668639053254437,0.023668639053254437,0.011834319526627219,0.005917159763313609,0.0,0.0,0.0,0.011834319526627219,0.0,0.11834319526627218,0.08284023668639054,0.14201183431952663,0.011834319526627219,6.112426035502959
https://doi.org/10.1108/acmm-01-2014-1339,0.042071197411003236,0.012944983818770227,0.016181229773462782,0.003236245954692557,0.006472491909385114,0.003236245954692557,0.0,0.0,0.006472491909385114,0.003236245954692557,0.11650485436893204,0.038834951456310676,0.13592233009708737,0.003236245954692557,5.158576051779935
https://doi.org/10.1108/acmm-05-2014-1389,0.029166666666666667,0.03333333333333333,0.03333333333333333,0.008333333333333333,0.016666666666666666,0.0125,0.004166666666666667,0.008333333333333333,0.0,0.008333333333333333,0.125,0.05,0.15,0.004166666666666667,5.683333333333334
https://doi.org/10.1108/acmm-04-2014-1375,0.011363636363636364,0.045454545454545456,0.011363636363636364,0.003787878787878788,0.007575757575757576,0.0,0.0,0.003787878787878788,0.007575757575757576,0.011363636363636364,0.08712121212121213,0.056818181818181816,0.08712121212121213,0.011363636363636364,5.700757575757576
https://doi.org/10.1108/acmm-11-2013-1324,0.04669260700389105,0.0038910505836575876,0.042801556420233464,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876,0.0,0.0,0.0,0.0,0.12062256809338522,0.0311284046692607,0.1245136186770428,0.011673151750972763,5.4863813229571985
https://doi.org/10.1108/acmm-11-2013-1319,0.01762114537444934,0.02643171806167401,0.02643171806167401,0.004405286343612335,0.013215859030837005,0.004405286343612335,0.0,0.004405286343612335,0.00881057268722467,0.0,0.09691629955947137,0.039647577092511016,0.07488986784140969,0.00881057268722467,5.462555066079295
https://doi.org/10.1108/acmm-05-2014-1381,0.03488372093023256,0.03488372093023256,0.03875968992248062,0.0,0.011627906976744186,0.007751937984496124,0.007751937984496124,0.011627906976744186,0.003875968992248062,0.0,0.13565891472868216,0.027131782945736434,0.11627906976744186,0.003875968992248062,5.550387596899225
https://doi.org/10.1108/acmm-10-2013-1308,0.03488372093023256,0.011627906976744186,0.027131782945736434,0.003875968992248062,0.007751937984496124,0.003875968992248062,0.0,0.003875968992248062,0.007751937984496124,0.003875968992248062,0.12790697674418605,0.05426356589147287,0.12015503875968993,0.003875968992248062,5.147286821705427
