Dim1,Dim2,Dim3,Dim4,NCC,citations,cluster
-0.046929725138017,0.8917117348896402,1.6548191473198328,0.4969519289506107,6.477611940298508,62,0
1.1269510375189804,0.7242445803142259,0.0857466423756301,-0.2584739815573751,3.970149253731343,38,1
1.6694471025363715,0.811235829790797,-0.7877749249388656,1.2284478747478282,3.656716417910448,35,0
0.1112674609364796,0.6026689401243612,-0.9752620118897776,-0.5350698392753411,2.298507462686567,22,1
0.807796185285021,0.2290335589797881,1.8477109454436005,0.2819266030258259,1.5671641791044777,15,0
0.0452445070156193,-1.1066398161744253,-0.1168002534122677,0.292650432469962,2.194029850746269,21,1
0.0305809887009053,1.6030342768404204,-0.4216131168850858,-0.8413891090755833,1.985074626865672,19,1
-0.5847202213292789,-0.0091863210718518,0.216090391593223,0.2304144351207962,1.8805970149253728,18,0
-0.0345429989528031,0.307548595348658,1.4062651303517908,-1.059055892530565,1.7761194029850746,17,1
0.2252859589295159,0.6540463109459576,-0.2289315435719208,-0.2576269569374513,1.671641791044776,16,1
1.464424019693877,0.5249488936274888,-0.3666786813952604,-1.1762707432718245,1.671641791044776,16,1
-0.4012475226753945,0.2964423362105728,0.0243942433759536,-0.6160114270481225,1.462686567164179,14,1
1.0624425390882857,-0.0394155452709925,-0.2053468462469113,0.3924976574708126,1.3582089552238807,13,0
0.6738201914806932,0.6313061773462829,-0.2510392618320411,0.8516887546365262,1.2537313432835822,12,0
0.3897195527366458,0.2599334638737003,-0.7425300165429621,-0.1841057694389938,1.0447761194029852,10,1
1.3551799167717993,0.8361007243023992,-0.9713597604856896,0.2038874353617533,0.9402985074626866,9,1
0.4920904303332901,-0.2784169044783577,0.1542095996324642,0.1729047639047702,0.7313432835820896,7,0
-0.4670324111762702,1.5780854842682512,0.4657678680697599,0.6880838127974187,0.3134328358208955,3,0
0.0961923932160701,-0.1717434908220962,-1.034161735624329,-0.8838688930032472,1.985074626865672,19,1
-0.3050923949027738,-0.4223182084208157,-0.0255351864853818,0.2274548712212738,1.462686567164179,14,1
1.329562449772164,-0.1080668356299737,-0.8459804862159723,0.9987346878076472,1.1492537313432836,11,0
0.8677351719187412,1.2019776607609354,0.5769054548588491,-0.5830777607860582,1.0447761194029852,10,0
0.9406073712452964,0.5578229024395374,0.670295339305291,-0.0035733226717543,1.0447761194029852,10,0
0.0824207262376655,1.1923118852835362,-0.2880598633858912,1.110447375127292,0.9402985074626866,9,0
-0.1324629298824473,0.1641955665820663,0.3011200800625678,-0.5975897640833133,0.835820895522388,8,1
1.595210231230137,1.3303618733123734,1.1100895168909326,-0.7313612547286619,0.5223880597014926,5,0
0.4763035899836036,-0.5818011938618131,1.362312230074314,0.6316160196479832,1.2537313432835822,12,0
-0.3721357813674691,0.0016867123528826,0.0703680792488274,-0.1194717290225644,1.1492537313432836,11,1
0.1025567929871951,-0.3528631298140007,-0.1824865079263622,0.0460938901860217,0.7313432835820896,7,1
-0.3208774365879513,1.4598789097855436,-0.1657471538940342,-1.0147336566150396,0.5223880597014926,5,1
-0.7515941575822342,0.4744309774399199,0.1287340004644704,0.4878017139795068,0.5223880597014926,5,0
-0.2113709538463789,0.2597312598703156,0.1701917925877437,-0.9105387772582773,0.5223880597014926,5,1
0.8070406311364581,0.887124965229738,0.722500063792714,0.3140042543257421,0.3134328358208955,3,0
-1.0465606099775635,0.4771926943490351,0.5103584359036618,0.8386353581752609,0.3134328358208955,3,0
0.4259587119046402,-0.543920002983224,0.5594493500409881,-0.2563355101676577,0.3134328358208955,3,1
-0.4915356476481279,0.4440249482056519,-0.4313569788074925,-0.1264323278882342,0.208955223880597,2,1
-0.6663945334224182,0.4021457490374683,-0.3040337315714678,-1.2019918906217737,0.208955223880597,2,1
1.1732768728856011,-1.4353339213553562,-1.1379982270502076,-0.3372235781794237,0.5223880597014926,5,1
0.6040176390466465,0.3655925287314147,0.540014449860472,-0.3879808939214529,0.5223880597014926,5,0
0.2615087121421077,-1.0650232883588726,0.8367109070357792,2.9912964475983417,0.208955223880597,2,0
