doi,title,year,citations,is_oa,type
https://doi.org/10.1016/j.corsci.2023.111336,Corrosion behavior and mechanisms of the heat-treated Ti5Cu produced by laser powder bed fusion,2023,27,True,article
https://doi.org/10.1016/j.corsci.2023.111669,In-situ measurement of electrochemical activity related to filiform corrosion in organic coated steel by scanning vibrating electrode technique and scanning micropotentiometry,2023,26,True,article
https://doi.org/10.1016/j.corsci.2024.111919,Corrosion and passivation behavior of laser powder bed fusion produced Ti-6Al-4V under various prior plastic deformation strains,2024,26,True,article
https://doi.org/10.1016/j.corsci.2024.112322,Corrosion performance of 6061 aluminium alloy protected by plasma electrolytic oxidation coatings modified by acrylic acid,2024,26,True,article
https://doi.org/10.1016/j.corsci.2023.111013,Improving corrosion resistance of Ti alloy in hydrochloric acid by embedding TiC/TiB and Y2O3 ceramic nano-particles,2023,25,True,article
https://doi.org/10.1016/j.corsci.2023.111333,The critical effect of rust layers on localised corrosion of steel exposed to waterline environments,2023,25,True,article
https://doi.org/10.1016/j.corsci.2023.111651,Corrosion inhibition of decylphosphonate on bare and PEO-coated Mg alloy,2023,25,True,article
https://doi.org/10.1016/j.corsci.2024.112031,A microstructure-sensitive electro-chemo-mechanical phase-field model of pitting and stress corrosion cracking,2024,25,True,article
https://doi.org/10.1016/j.corsci.2024.112235,Numerical exploration of a fully mechanistic mathematical model of aqueous CO2 corrosion in steel pipelines,2024,25,True,article
https://doi.org/10.1016/j.corsci.2025.112796,Mechanism of zinc phosphate conversion coating formation on iron-based substrates,2025,25,True,article
https://doi.org/10.1016/j.corsci.2023.111238,"The effect of porosity, mixed molecular/Knudsen diffusion, and a surface barrier layer on steam corrosion of Yb2Si2O7",2023,24,True,article
https://doi.org/10.1016/j.corsci.2024.111904,Nanoscale perspective on the stress-corrosion cracking behavior of a peak-aged 7XXX-Al alloy,2024,24,True,article
https://doi.org/10.1016/j.corsci.2023.111022,SCC behaviour of laser powder bed fused 316L stainless steel in high-temperature water at 288 °C,2023,23,True,article
https://doi.org/10.1016/j.corsci.2023.111513,Prediction of multilayer Cr/GLC coatings degradation in deep-sea environments based on integrated mechanistic and machine learning models,2023,23,True,article
https://doi.org/10.1016/j.corsci.2024.111867,"Corrosion inhibition mechanism of 2,6-pyridinedicarboxylate depending on magnesium surface treatment",2024,23,True,article
https://doi.org/10.1016/j.corsci.2024.111872,Influence of microstructure on the oxidation behaviour of the Ni-based single crystal superalloy AM1 between 850 and 1050 °C in air,2024,23,True,article
https://doi.org/10.1016/j.corsci.2024.112067,High temperature oxidation of inconel 939 produced by additive manufacturing,2024,23,True,article
https://doi.org/10.1016/j.corsci.2023.111018,Synchrotron-based near ambient-pressure X-ray photoelectron spectroscopy and electrochemical studies of passivation behavior of N- and V-containing martensitic stainless steel,2023,22,True,article
https://doi.org/10.1016/j.corsci.2023.111210,Evaluation of microstructural and environmental effects on the hydrogen uptake and desorption in high-strength carbon steels: A thermal desorption spectroscopy study,2023,22,True,article
https://doi.org/10.1016/j.corsci.2023.111698,Corrosion behavior assessment of an Al-Cu alloy manufactured via laser powder bed fusion,2023,22,True,article
https://doi.org/10.1016/j.corsci.2024.112453,Probing and monitoring multiple forms of localised corrosion occurring concurrently on pipeline steels in marine environments,2024,21,True,article
https://doi.org/10.1016/j.corsci.2023.111598,In situ SR-XRD analysis of corrosion product formation during ‘pseudo-passivation’ of carbon steel in CO2-containing aqueous environments,2023,20,True,article
https://doi.org/10.1016/j.corsci.2024.112202,An electrochemical study of iron carbonate layers formed on carbon steel during corrosion in elevated pressure CO2 environments,2024,20,True,article
